epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,160.841,1.34912,2.75175,2.34549,0.11465,0.87541,0.89894,0.92502,0.73915,0.82179,0.87713,1.67955,0.13574,0.00998162,0.00332721,0.00998162,0.00332721,0.00998162,0.00332721,0.00998162,0.00332721
2,298.4,1.08747,1.31889,1.62373,0.09965,0.92265,0.91839,0.95074,0.80305,0.70092,0.62055,1.47708,0.11385,0.0198827,0.00662757,0.0198827,0.00662757,0.0198827,0.00662757,0.0198827,0.00662757
3,414.772,1.0423,1.15993,1.54292,0.09354,0.91707,0.91675,0.94048,0.77569,0.738,0.64941,1.51248,0.10416,0.0296848,0.00989493,0.0296848,0.00989493,0.0296848,0.00989493,0.0296848,0.00989493
4,530.477,1.03805,1.14958,1.53677,0.09142,0.9268,0.91061,0.94566,0.80023,0.67898,0.59095,1.41106,0.0939,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,646.037,0.99479,1.0444,1.49355,0.08172,0.90745,0.93681,0.95716,0.82647,0.62922,0.53832,1.38419,0.09175,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,762.328,0.953,0.96855,1.45623,0.07523,0.92207,0.93167,0.96089,0.82699,0.61759,0.51216,1.36046,0.08251,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,878.153,0.93586,0.93775,1.438,0.07186,0.92254,0.9651,0.95611,0.83569,0.60582,0.47452,1.3356,0.08336,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,993.739,0.90604,0.89811,1.42174,0.06728,0.94265,0.93512,0.95177,0.83996,0.57658,0.44668,1.30399,0.08092,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1109.57,0.88623,0.86187,1.3944,0.06322,0.93329,0.94029,0.96434,0.85065,0.57414,0.43587,1.31154,0.07773,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1224.68,0.87626,0.84664,1.38892,0.06107,0.9312,0.9552,0.95464,0.85227,0.56652,0.44069,1.30418,0.07412,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
